artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,genre_1,genre_2,genre_3,mood_1
Nirvana,Love Buzz,0.885,0.169,138.153,0.0354,3.22E-05,0.196,4,0.47,3,215120,-7.224,0.78,1,Alternative & Punk,Alternative,Grunge,Brooding
The Presidents Of The United States Of America,Lump,0.873,0.165,142.726,0.0386,0.00468,0,4,0.499,6,134200,-3.902,0.869,1,Alternative & Punk,Alternative,Alternative Pop,Aggressive
Stanton Warriors,So Sweet,0.936,0.118,127.997,0.0425,0.000531,0.594,4,0.715,4,201337,-6.127,0.106,0,Electronica,Techno,Breakbeat,Energizing
Natalie Marchenko,License To Chill - Pacha Sax Lounge RMX,0.511,0.24,171.963,0.0302,0.262,0.837,4,0.581,5,317811,-8.199,0.399,0,Pop,Easy Listening,Other Easy Listening,
Robyn,Be Mine! - Live At The Cherrytree House,0.249,0.114,116.599,0.0451,0.955,0,4,0.533,0,272053,-8.532,0.513,0,Electronica,Electronica Mainstream,Pop Electronica,Romantic
Pearl Jam,Black,0.548,0.179,76.02,0.0287,0.294,0,4,0.376,4,343667,-10.58,0.233,0,Alternative & Punk,Alternative,Grunge,Brooding
Sam Hunt,Leave The Night On,0.953,0.349,171.971,0.0624,0.0996,0,4,0.516,9,192160,-3.828,0.849,1,Traditional,Country,Contemporary Country,Yearning
George Carlin,War Pictures,0.546,0.147,72.94,0.961,0.921,0,3,0.611,7,222200,-10.444,0.491,1,Other,Comedy,Comedy,Other
Kaya May,"Hands to Myself, Love Yourself, Perfect (Acoustic Mashup) [feat. Landon Austin]",0.445,0.113,110.056,0.05,0.0575,0,4,0.702,9,226893,-9.693,0.326,0,Pop,Western Pop,Pop Vocal,Brooding
Notaker,Infinite,0.669,0.108,99.987,0.0483,0.0937,0.82,4,0.633,1,355200,-8.124,0.0384,0,Electronica,Dance & Club,Club Dance,Excited
Thomas Rhett,I Feel Good,0.584,0.0677,106.967,0.0366,0.00658,0,4,0.834,3,195427,-7.238,0.964,0,Pop,Western Pop,Adult Alternative Pop,Energizing
Kaftan,Romance In Dubai,0.194,0.723,123.994,0.0343,0.846,0.913,4,0.447,10,459133,-14.445,0.249,0,Rock,Folk Rock,Classic Folk Rock,Empowering
Kail Baxley,Better Feeln' Better Days,0.401,0.0943,149.92,0.0423,0.11,0.833,4,0.764,1,223000,-8.612,0.0722,1,Rock,Mainstream Rock,General Mainstream Rock,Aggressive
Dirty Mac,Yer Blues - Live,0.874,0.686,110.95,0.132,0.00469,0.127,4,0.408,8,266600,-8.266,0.729,1,Rock,Mainstream Rock,General Mainstream Rock,
Fat Jon,Feel The Void,0.228,0.152,176.037,0.0682,0.312,0.83,4,0.593,6,199877,-15.824,0.642,0,Urban,Western Hip-Hop/Rap,General Hip-Hop/Rap,Sensual
Tchavolo Schmitt,L'indien,0.42,0.108,112.912,0.0463,0.894,0.767,4,0.632,5,222747,-8.34,0.525,1,Jazz,Early Jazz,Gypsy Jazz,Sophisticated
Sofia's Choice,Isoldes World,0.161,0.127,80.014,0.0321,0.171,0.908,3,0.611,7,261312,-13.674,0.154,1,Other,New Age,General New Age,
Aoife O'Donovan,Stanley Park,0.556,0.104,145.081,0.0337,0.701,0.00867,3,0.466,1,170213,-10.829,0.351,1,Alternative & Punk,Alternative Folk,Alternative Folk,Empowering
A Day To Remember,If It Means a Lot to You,0.536,0.456,126.996,0.0279,0.112,0,4,0.584,10,243227,-8.158,0.455,1,Alternative & Punk,Punk,Pop Punk,Empowering
Matt Nathanson,Come On Get Higher,0.623,0.0848,92.018,0.0297,0.241,0,4,0.672,9,215173,-5.699,0.621,1,Pop,Western Pop,Adult Alternative Pop,Yearning
Winhill/Losehill,Aifos,0.231,0.108,99.033,0.0299,0.99,0.631,4,0.451,6,277835,-13.764,0.179,1,Alternative & Punk,Alternative Folk,Alternative Folk,Sentimental
Sound Dreamer,Blue Noise - 1 Hour,0.000513,0.792,0,,0.112,0.879,,,6,3720046,-22.258,,0,Other,New Age,General New Age,Aggressive
Antoine Brumel,Missa Et ecce terrae motus (The Earthquake Mass): Kyrie,0.249,0.0499,130.321,0.0409,0.982,0.0516,3,0.174,1,348200,-20.452,0.0925,1,Classical,Renaissance Era,Renaissance Vocal,Somber
Gustav Holst,"The Planets, Op. 32: II. Venus, the Bringer of Peace",0.0119,0.132,138.631,0.0401,0.958,0.86,4,0.147,8,429933,-30.688,0.0326,1,Classical,Modern Era,Modern Era Instrumental,Peaceful
Half Moon Run,Turn Your Love,0.721,0.0814,172.022,0.0589,0.215,0.118,4,0.639,5,241920,-7.625,0.621,0,Alternative & Punk,Indie Rock,General Indie Rock,Yearning
Apink,Oh Yes,0.815,0.087,115.965,0.0476,0.143,0,4,0.819,7,203510,-3.243,0.669,1,Pop,Korean Pop,K-Pop,
The Chain Gang Of 1974,I Still Wonder,0.735,0.105,100.038,0.03,0.0241,0.000373,4,0.555,6,277040,-5.301,0.211,1,Electronica,Electronica Mainstream,Pop Electronica,Empowering
John Debney,The Man Village,0.0177,0.0722,93.592,0.0382,0.957,0.969,4,0.171,6,177893,-31.73,0.036,1,Soundtrack,Original Film/TV Music,General Film Music,Peaceful
Jacques Loussier Trio,Bach: Goldberg Variations: Aria,0.231,0.0713,131.075,0.0441,0.927,0.646,4,0.428,7,148200,-18.85,0.31,1,Jazz,Bebop & Modern Jazz,Avant Garde,Tender
