artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,genre_1,genre_2,genre_3,mood_1
Nirvana,Love Buzz,0.885,0.169,138.153,0.0354,3.22e-05,0.196,4.0,0.47,3,215120,-7.224,0.78,1,Alternative & Punk,Alternative,Grunge,Brooding
Kail Baxley,Better Feeln' Better Days,0.401,0.0943,149.92,0.0423,0.11,0.833,4.0,0.764,1,223000,-8.612,0.0722,1,Rock,Mainstream Rock,General Mainstream Rock,Aggressive
Dirty Mac,Yer Blues - Live,0.874,0.686,110.95,0.132,0.00469,0.127,4.0,0.408,8,266600,-8.266,0.729,1,Rock,Mainstream Rock,General Mainstream Rock,nan
Tchavolo Schmitt,L'indien,0.42,0.108,112.912,0.0463,0.894,0.767,4.0,0.632,5,222747,-8.34,0.525,1,Jazz,Early Jazz,Gypsy Jazz,Sophisticated
Sofia's Choice,Isoldes World,0.161,0.127,80.014,0.0321,0.171,0.908,3.0,0.611,7,261312,-13.674,0.154,1,Other,New Age,General New Age,nan
Aoife O'Donovan,Stanley Park,0.556,0.104,145.081,0.0337,0.701,0.00867,3.0,0.466,1,170213,-10.829,0.351,1,Alternative & Punk,Alternative Folk,Alternative Folk,Empowering
Winhill/Losehill,Aifos,0.231,0.108,99.033,0.0299,0.99,0.631,4.0,0.451,6,277835,-13.764,0.179,1,Alternative & Punk,Alternative Folk,Alternative Folk,Sentimental
Antoine Brumel,Missa Et ecce terrae motus (The Earthquake Mass): Kyrie,0.249,0.0499,130.321,0.0409,0.982,0.0516,3.0,0.174,1,348200,-20.452,0.0925,1,Classical,Renaissance Era,Renaissance Vocal,Somber
Gustav Holst,"The Planets, Op. 32: II. Venus, the Bringer of Peace",0.0119,0.132,138.631,0.0401,0.958,0.86,4.0,0.147,8,429933,-30.688,0.0326,1,Classical,Modern Era,Modern Era Instrumental,Peaceful
The Chain Gang Of 1974,I Still Wonder,0.735,0.105,100.038,0.03,0.0241,0.000373,4.0,0.555,6,277040,-5.301,0.211,1,Electronica,Electronica Mainstream,Pop Electronica,Empowering
John Debney,The Man Village,0.0177,0.0722,93.592,0.0382,0.957,0.969,4.0,0.171,6,177893,-31.73,0.036,1,Soundtrack,Original Film/TV Music,General Film Music,Peaceful
Jacques Loussier Trio,Bach: Goldberg Variations: Aria,0.231,0.0713,131.075,0.0441,0.927,0.646,4.0,0.428,7,148200,-18.85,0.31,1,Jazz,Bebop & Modern Jazz,Avant Garde,Tender
Kilfenora Fiddle Ceili Band,Kilfenora Reels: Connemara Stocking - The Westmeath Hunt - A Fair Wind,0.861,0.196,115.45,0.076,0.702,0.0115,4.0,0.493,2,171683,-7.956,0.942,1,Traditional,Celtic,Celtic,Upbeat
Neon Trees,Sleeping With A Friend,0.89,0.324,107.037,0.0364,0.00204,6.66e-06,4.0,0.58,2,228840,-4.272,0.519,1,Alternative & Punk,Alternative,Alternative Pop,Defiant
Fossil Collective,In a Northern Sky,0.164,0.114,79.865,0.0317,0.932,0.000883,3.0,0.4,7,253952,-15.118,0.0385,1,Alternative & Punk,Alternative Folk,Alternative Folk,nan
