artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,mood_1
Nirvana,Love Buzz,0.885,0.169,138.153,0.0354,3.22E-05,0.196,4,0.47,3,215120,-7.224,0.78,1,Sad
Kail Baxley,Better Feeln' Better Days,0.401,0.0943,149.92,0.0423,0.11,0.833,4,0.764,1,223000,-8.612,0.0722,1,Aggressive
Tchavolo Schmitt,L'indien,0.42,0.108,112.912,0.0463,0.894,0.767,4,0.632,5,222747,-8.34,0.525,1,Sophisticated
Aoife O'Donovan,Stanley Park,0.556,0.104,145.081,0.0337,0.701,0.00867,3,0.466,1,170213,-10.829,0.351,1,Energetic
Winhill/Losehill,Aifos,0.231,0.108,99.033,0.0299,0.99,0.631,4,0.451,6,277835,-13.764,0.179,1,Sentimental
Antoine Brumel,Missa Et ecce terrae motus (The Earthquake Mass): Kyrie,0.249,0.0499,130.321,0.0409,0.982,0.0516,3,0.174,1,348200,-20.452,0.0925,1,Sad
Gustav Holst,"The Planets, Op. 32: II. Venus, the Bringer of Peace",0.0119,0.132,138.631,0.0401,0.958,0.86,4,0.147,8,429933,-30.688,0.0326,1,Peaceful
The Chain Gang Of 1974,I Still Wonder,0.735,0.105,100.038,0.03,0.0241,0.000373,4,0.555,6,277040,-5.301,0.211,1,Energetic
John Debney,The Man Village,0.0177,0.0722,93.592,0.0382,0.957,0.969,4,0.171,6,177893,-31.73,0.036,1,Peaceful
Jacques Loussier Trio,Bach: Goldberg Variations: Aria,0.231,0.0713,131.075,0.0441,0.927,0.646,4,0.428,7,148200,-18.85,0.31,1,Tender
Kilfenora Fiddle Ceili Band,Kilfenora Reels: Connemara Stocking - The Westmeath Hunt - A Fair Wind,0.861,0.196,115.45,0.076,0.702,0.0115,4,0.493,2,171683,-7.956,0.942,1,Energetic
Neon Trees,Sleeping With A Friend,0.89,0.324,107.037,0.0364,0.00204,6.66E-06,4,0.58,2,228840,-4.272,0.519,1,Defiant
Allan Holdsworth,Metal Fatigue,0.595,0.03,109.951,0.0603,0.0209,0.000661,3,0.529,2,296194,-11.576,0.51,1,Energetic
A Great Big World,Say Something,0.147,0.0913,141.284,0.0355,0.857,2.89E-06,3,0.407,2,229400,-8.822,0.0796,1,Sad
Gorgon City,Smile,0.73,0.0557,112.953,0.0597,0.049,0.00036,4,0.699,7,198002,-6.337,0.572,1,Sad
Shad,Rose Garden,0.915,0.333,183.335,0.335,0.0509,1.33E-06,4,0.585,11,177373,-4.39,0.844,1,Cool
Alban Berg,"Berg: Violin Concerto, ""To the memory of an angel"": I. Allegro - Adagio",0.0496,0.112,63.717,0.0435,0.922,0.25,3,0.0686,5,960572,-26.192,0.0347,1,Serious
Auras,The Ripple Effect,0.959,0.11,140.105,0.106,5.93E-06,0.759,4,0.484,1,199854,-5.007,0.608,1,Aggressive
Ashley Wallbridge,Es Vedra,0.97,0.0578,127.989,0.0439,0.00469,0.0229,4,0.498,1,236484,-2.95,0.337,1,Sad
Bruce Springsteen,Thunder Road,0.673,0.387,140.302,0.0338,0.683,3.75E-05,4,0.37,5,288600,-8.507,0.668,1,Energetic
Brett Dennen,Only Want You,0.354,0.11,139.843,0.0356,0.807,4.21E-06,4,0.735,9,206200,-11.941,0.602,1,Sad
